kerb,indegree,outdegree
0zXti6CmKFzX2jtU,1,1
Ag2eOwChkwVpUKzH,1,1
roiJFoCJaZk08wQ0,5,4
SUBgzOBXBN7Izof7,5,4
LVPPdPLAT7hJYsWE,1,2
HYMK3Vb46sM9JvIY,0,1
noamXe1Pt21iumtn,2,1
AfGDcMBUuZwxcup9,2,1
tQRm2Z3iztWtzAZs,0,1
0K6GomEEmLnKEPxw,0,2
GKHrBs1rAJNZUoNn,0,3
l9olaQC71klclUBN,0,1
9HMWOlMQ8XRMcX7j,1,4
fNgEhPI9RTFzzhBR,0,4
ujukK7iOW8YkT2Q8,1,1
jmJmuVWdZbzYP4vI,0,2
9xQ4H50NFry4yN1a,0,1
IxxftJvqMt1IqRBa,1,1
ZirBJLJtN8yWGMZY,0,1
9GCWTwQNDosUNFJM,2,1
L3tklYxpmor3Jt1s,0,10
Llsjy4VeEWOnVw14,0,1
wxnWK9Cfufnr49Fn,1,4
sbTNDegYCGSVp5ZH,1,2
PkDJSKhyc9fvXc82,0,1
qtLDk0jwvnPN2igZ,0,1
AxiZNmt2qz3hdWza,1,1
tTzA0TuowZDizXSE,1,1
vQP6E2gLSq3N7xvH,1,8
g8qzRjq5qW2X1egy,0,1
xZIMcNou3r6wB57Y,1,1
GDvu1JWMeGvSuRbC,1,1
0NmwxlggzaVZPBXQ,1,10
dh8qfJ0Gw6vMZucC,2,1
hvo8cyiTsoRKIvhM,0,1
GBsSuIFxpYCrdNCz,3,7
FLZ5AoIfwEWitxwO,2,4
VhTeVBfgUEIZ7uDE,2,2
hcZqQga53px06nSj,0,1
xHyBTczak1UVkdVT,1,1
bZXfkEgj2DjtgGM9,0,6
wBSN8i01gNc9cmwL,2,1
s8SGLnBVsuY3F9mR,1,1
RMkZPm6vZTQztDnf,1,1
OlzfClO0NxfXSunk,0,5
Wrg4kfIVgSaGFQZK,0,3
UpIa1fSuiiDcGBUq,0,10
j0mnsUz1UqX0EQGB,2,1
8HLvnqcIbFSWn2kR,1,1
0pkLQoN7Dip9kugs,0,10
fEIr4uKWCk1vKrBz,0,1
1SVd4GA0TefrGdl4,0,5
bvnbH1wE1PpOnXMc,2,7
522AlSMApXLBxZqa,0,3
H9qyBBQdocbD6kNV,2,1
5rzMj5VUtwHNjizw,0,2
N3U1eQ9TbwsmnAf2,2,5
Xe3VLDKdsywCgM3y,3,3
3s69ig6TgshSzGYN,1,2
iZuKVgrboyasEPWn,3,1
y6DdwpYCQLtD1bfh,1,1
XPXUBNhzFjk8QVeo,2,3
TYqJWUEYyiTH5m2e,2,4
s9wLrSK1cBbr15CE,2,1
50pvx9enSMd6gkrH,1,1
jYaVNmpTHrvnCv7A,0,6
pkpKSYKo60QtsXF9,1,4
pwYUzC0RfiOq2Cbm,1,1
Ps91zDVlnaKJKPsG,0,1
EQ46UrQRDvOQh3jj,1,10
v4D2aDHaygOxwkCK,1,1
bdF3rM32igTxSGpG,0,2
qlNUHyq20ywz5hN3,1,1
XtxUeFvhfxKmS2yt,1,1
eTVlgpfcx1k5VYvo,3,1
U4QPoqi4DUPTrQUu,1,2
xYUP4pxmpXBrZDJk,2,1
GUVUedUrWYFZqLnh,0,2
TC16VLKHD7FZXhDP,1,1
80mgIcf9mn5cROCC,1,9
kQvwD05Hg6CrOZPl,0,2
cNip54fHBthq3xkI,1,2
hfHCqc2G44yT0WKS,0,5
ubbXUM3drPvuqZF6,1,2
ioXgKQ0ZlUQtOdgX,0,3
pTpK1QOzVAx2SZ0J,1,1
ejDBRzAowqVZfgbd,1,1
81FTREJB4pghwAzj,0,3
eT1bAY4bhRIKcPit,0,5
7cThF3QdFCw5Rodt,1,1
213bT7gjnf6YSWR0,1,3
ptq8gzITsFuUVgLw,0,2
zLSh8I563ZVv60hZ,1,1
3CMhxc8jonkdPfRZ,1,3
A53WRhj9e6gj0Ryu,0,1
UQHgJ8e8b6yRMXX8,2,5
DWohOTD4xZb0LWDA,2,3
oAc1x4AYXw0EOMMv,2,1
7sP35bm1Bm74DnhW,2,1
jhd3oiTmP6vbleZd,0,1
8mO7K9VlDykTlIYl,0,1
RBqzWPBQOhhzYjht,1,1
LEtuPQsKQYirveOU,0,2
W4KC4I58rP0eJ1kC,1,1
kOAoqnfhxPkYaBiN,2,1
6WMNpJwhVONlVUSs,0,2
RxSCL3njw8KGadOB,2,1
sQe60Ul8ZMa6PNMk,1,1
At1d0nXM3cgQE4DC,1,1
RZrwYaVIKIV6IQJX,0,3
VsrVqCr0ghyCA2tY,0,2
GxbLIhQjvMvVBRpL,1,1
DwJB1GDX927jpl6r,2,3
AovM6chx8hIV3vkg,3,5
a7lmY4J7unci16t1,1,3
gj58pVLop2CILFEg,0,6
yaqwUM68c6Wa2m50,1,1
PdFDNHnaa75HLFd5,0,7
NAgCLzzNbhC5BUnc,0,10
n2jCLPPFI9jbKrYB,2,6
bBjkj3XpaKsenWmJ,0,3
OhirO9Rh68deCKqB,0,3
78qsKnmqmytzKqmL,1,6
jnaQECgbqIERpECL,2,3
XXio2gpEgRcUqk1j,3,3
u4kyyabDoHsaeW1S,2,10
s0y5qPQNlSkBUpoD,1,1
hRWNef28iSzLbaMj,0,4
VkzvuyPpJ5TazgfB,1,2
dAvhuw1bhiQV18vJ,1,2
ZHrF4mHxLs2Xo3Nq,1,1
heab2lnqCqFecEzH,0,1
2QmsX1fTJPWqDo1l,1,1
M0f1S1ds0esOxEgj,0,1
Z2z2DRGdlRw9wrhf,0,1
q6b9TiFJr2CBu5Kg,1,1
wlx2pWjXsthNkb7U,2,4
DNytEh1gKnEFIYay,1,10
zTcawN2kjlIWMpOW,4,10
9IYeYDFFFmzkjznM,1,1
HQaFbBxPJqwSM9vz,0,3
iw1j9JzfBU7bOaaY,2,1
on1whwQGrUbWC1km,2,6
csWb9taZ7E6vH4ra,2,1
noUurd0bKpSokinR,2,10
nvETz4bbcGPKGRrc,1,9
jJc4lOFagxVPgB3D,2,3
jASF76GMRIAXdF9w,2,1
c6mZ65C5bvcjotMc,0,1
4wZg5CKo2FCWdOSj,1,1
nxIw1DnGLFZyEeb1,2,8
j9DX2Z2LEh6125hE,1,6
tIaLGZVoUGwJy8QB,1,5
GDTij0oDySOHORDq,2,8
dnHFVoJB9Tpikgbi,0,1
acXFloLYdjIYgV5O,1,2
2u0tvFhT55rmFa8S,1,1
acx4XujYnxqlBeni,0,7
zzHzoLfK5ZOkqc0l,0,10
9QQWZHrnJM2jByvl,1,3
xwNLbMvgs9Mm327N,0,3
JtDqkIW5WWOpHukK,1,1
3RvegN3hZD0di6DN,0,4
HzoebNdlDvAYxyLH,2,5
yl2P6p608CBeXSM9,1,3
6diKoSOzkEkw4Pzw,1,1
UllV9bJXSWnidaSq,2,1
VXElRETFTNX8rMDt,1,1
Sk4wu4VXqFZcIjzL,0,2
WL3EVaqZxb6Mc0bZ,0,1
Lnkw5FT5FmlOIuDl,0,1
aAjcJIL5iI4pUBu6,3,8
V5yDz41MQM4Q1nEG,1,2
qMgPfqr5Ltc2BJC2,0,2
4TxX1YgA09Gl3u05,0,1
COfRpzwZVNfYxygp,0,3
GZTdlLrupBT5BEhG,1,1
CSGNRaSflsIJqJ9T,1,5
yDUixu7RUGRm6eRo,0,3
JxIlCT0SOyMTYFnf,1,1
4bzUnTXknzkGMaE6,1,2
wsgdFsH6wyBdyO4N,1,10
zcSvpqaLsHoIuvHE,2,1
HG2hBFehnZ2WqxqQ,0,4
X3rPXZvPuVeK2bDz,0,1
lOupJc5Fx31zXRpZ,1,1
56RULXEH7R806L87,1,0
fx7B0GIBxY6XRLsY,0,2
JwZ7guJu1RLmmc7F,1,10
Mq7YnXesPqqRxwDM,1,1
UsIvIL0bP3fHcZzV,1,1
cm4MmfqTJ7DFhsoS,0,2
lQalv4DFNlnd0Dwl,1,1
H8UFriGT9E5Ai5B0,3,10
IchazGCAWY8QQ4YH,1,1
qwgjrCgKWAnClfF7,0,1
FbYxQdVmeztrPalO,4,4
IBmYnV4MNdGTEepP,1,1
lPe7BAqNNt0rHlhg,2,2
zlQjyNxwWztt35he,0,1
oktPguAgc3rzbhIi,1,1
oWFwdXvHQ7JlwW93,2,2
RyjSqX2JW9N5rG79,1,1
OtNZubXoNphj7Qsq,2,8
WqS67kyu3CMyey72,1,1
DKgumMVGdIteBPC3,2,1
nJAJd9psb9yipqbD,3,9
5R7YutFTqqufVVFI,1,1
fOSHDAFYcfylMHuX,1,4
3iPgT5y0YwBd9pmW,1,1
AkYiypMbwZIc8ehz,1,1
6iKZUWrKo3w26g0y,1,2
fWrAHIQpUSwE62tA,2,6
w4XFz9StjrpVn4jc,2,5
uSeMEOaPMDetfgpb,0,3
5XQvLvptKpeoPFYn,1,1
uYqyHqF2784RENAc,3,1
kxiLswmv7gjxqWvy,1,1
4JIQobXspgevZadk,4,10
fFVSS31alrKBuKXx,1,7
uAC2UP8AG3f0fBPY,0,3
3WAvCyuuqKN2ngb2,1,5
UPhN2oGicfCkPBcP,7,9
yYaTD0lZvspVrR3z,4,4
vPZpSVJaujwcBSsx,0,3
63RRVF7TSio9s76B,0,1
c8zSEqTxiRbBclst,2,4
QXSSJxgNRJpaOqUt,2,4
O6imR1M6d1lMOKUy,0,1
S5yha5dTFV4WPbBz,2,3
V9WaVsvCut8tUkWR,2,5
9kLYiPQXhfsuF0Sh,1,2
VWzFgD4Xcaek0M6S,0,4
I7NyTcV9cTV7NPUV,3,1
Tf7SZId1TJN5PXOk,0,1
ATNECR1Z5yjxld7S,2,1
